Ime,Atribut,Level_Rank,Tip,ATK,DEF 
White Night Queen,LIGHT,7,Fairy,2100,800
Windmill Genex,WIND,7,Machine,2000,1600
Windwitch - Winter Bell,WIND,7,Spellcaster,2400,2000
Wingweaver,LIGHT,7,Fairy,2750,2400
Worm Victory,LIGHT,7,Reptile,0,2500
X-Saber Souza,EARTH,7,Warrior,2500,1600
X-Saber Urbellum,EARTH,7,Warrior,2200,1300
Xiangke Magician,DARK,7,Spellcaster,2500,500
Yamata Dragon,FIRE,7,Dragon,2600,3100
"Yazi, Evil of the Yang Zing",DARK,7,Wyrm,2600,2100
"Yellow Baboon, Archer of the Forest",EARTH,7,Beast,2600,1800
Zeman the Ape King,EARTH,7,Beast,2500,1800
Zeta Reticulant,DARK,7,Fairy,2400,2100
Zoa,DARK,7,Fiend,2600,1900
"Aether, the Empowering Dragon",LIGHT,6,Dragon,2300,1600
"Aether, the Evil Empowering Dragon",DARK,6,Dragon,2300,1600
"Akz, the Pumer",EARTH,6,Beast-Warrior,1500,1000
"Alector, Sovereign of Birds",WIND,6,Winged Beast,2400,2000
Alien Mother,DARK,6,Reptile,2300,1500
Alien Overlord,DARK,6,Reptile,2200,1600
Ally of Justice Clausolas,DARK,6,Machine,2300,1200
Ally of Justice Enemy Catcher,DARK,6,Machine,1800,1800
Amazoness Queen,EARTH,6,Warrior,2400,1800
Ambitious Gofer,DARK,6,Fiend,2400,100
Ambulance Rescueroid,FIRE,6,Machine,2300,1800
Amorphage Sloth,EARTH,6,Dragon,2250,0
Amphibian Beast,WATER,6,Fish,2400,2000
Ancient Gear Beast,EARTH,6,Machine,2000,2000
Ancient Gear Gadjiltron Chimera,EARTH,6,Machine,2300,1300
Ancient One of the Deep Forest,EARTH,6,Beast,1800,1900
Angmarl the Fiendish Monarch,DARK,6,Fiend,2400,1000
Apprentice Illusion Magician,DARK,6,Spellcaster,2000,1700
Aqua Dragon,WATER,6,Sea Serpent,2250,1900
Aquaactress Arowana,WATER,6,Aqua,2000,2000
Arcana Force XIV - Temperance,LIGHT,6,Fairy,2400,2400
Archfiend Commander,DARK,6,Fiend,2500,1200
Archfiend Giant,DARK,6,Fiend,2400,1600
Archfiend of Gilfer,DARK,6,Fiend,2200,2500
Archfiend Zombie-Skull,DARK,6,Zombie,2500,1200
Armored Axon Kicker,EARTH,6,Psychic,2200,1800
Aromage Bergamot,FIRE,6,Plant,2400,1800
B.E.S. Big Core (Updated from: Big Core),DARK,6,Machine,2300,1100
B.E.S. Big Core MK-2,FIRE,6,Machine,2400,1100
B.E.S. Tetran,WIND,6,Machine,1800,2300
Batteryman Fuel Cell,LIGHT,6,Thunder,2100,0
Beast of Talwar,DARK,6,Fiend,2400,2150
"Beatrice, Lady of the Eternal",LIGHT,6,Fairy,2500,2800
Bitelon,WATER,6,Reptile,2400,1000
Blackwing - Elphin the Raven,DARK,6,Winged Beast,2200,1200
Blackwing - Kogarashi the Wanderer,DARK,6,Winged Beast,2300,1600
Blackwing - Nothung the Starlight,DARK,6,Winged Beast,2400,1600
Blackwing Armed Wing,DARK,6,Winged Beast,2300,1000
Bloom Diva the Melodious Choir,LIGHT,6,Fairy,1000,2000
Blowback Dragon,DARK,6,Machine,2300,1200
Bracchio-raidus,WATER,6,Dinosaur,2200,2000
Brain Golem,DARK,6,Fiend,2500,1800
Breaker the Dark Magical Warrior,DARK,6,Spellcaster,1600,1000
"Brionac, Dragon of the Ice Barrier",WATER,6,Sea Serpent,2300,1400
Brotherhood of the Fire Fist - Horse Prince,FIRE,6,Beast-Warrior,2200,2200
Caius the Shadow Monarch,DARK,6,Fiend,2400,1000
Castle Gate,EARTH,6,Rock,0,2400
"Celestial Wolf Lord, Blue Sirius",DARK,6,Beast-Warrior,2400,1500
Chachaka Archer,WIND,6,Warrior,1200,1800
Chaos Command Magician,LIGHT,6,Spellcaster,2400,1900
Chaos Sorcerer,DARK,6,Spellcaster,2300,2000
Chimera the Flying Mythical Beast,WIND,6,Beast,2100,1800
Chronograph Sorcerer,DARK,6,Spellcaster,2000,1700
Chronomaly Sol Monolith,EARTH,6,Rock,600,600
Chthonian Emperor Dragon,FIRE,6,Dragon,2400,1500
"Commander Gottoms, Swordmaster",EARTH,6,Beast-Warrior,2100,1600
Constellar Alrescha,LIGHT,6,Warrior,2200,1200
Constellar Antares,LIGHT,6,Machine,2400,900
Constellar Ptolemy M7,LIGHT,6,Machine,2700,2000
Coral Dragon,WATER,6,Dragon,2400,500
Cranium Fish,WATER,6,Fish,2400,1000
Crimson Sunbird,FIRE,6,Winged Beast,2300,1800
Criosphinx,EARTH,6,Rock,1200,2400
Cyber Angel Benten,LIGHT,6,Fairy,1800,1500
Cyber Angel Idaten,LIGHT,6,Fairy,1600,2000
Cyber Barrier Dragon,LIGHT,6,Machine,800,2800
Cyber Dragon Infinity,LIGHT,6,Machine,2100,1600
Cyber Prima,LIGHT,6,Warrior,2300,1600
Cybernetic Magician,LIGHT,6,Spellcaster,2400,1000
D/D Proud Ogre,DARK,6,Fiend,2300,1500
D/D Savant Nikola,DARK,6,Fiend,2000,2000
D/D/D Flame King Genghis,FIRE,6,Fiend,2000,1500
Dai-sojo of the Ice Barrier,WATER,6,Spellcaster,1600,2200
Daigusto Sphreez,WIND,6,Psychic,2000,1300
Dark Blade the Dragon Knight,DARK,6,Warrior,2200,1500
Dark Driceratops,EARTH,6,Dinosaur,2400,1500
Dark Dust Spirit,EARTH,6,Zombie,2200,1800
Dark Flare Knight,DARK,6,Warrior,2200,800
Dark Lucius LV6,EARTH,6,Fiend,1700,600
Dark Magician Girl,DARK,6,Spellcaster,2000,1700
Dark Red Enchanter,DARK,6,Spellcaster,1700,2200
Dark Ruler Ha Des,DARK,6,Fiend,2450,1600
Darklord Amdusc,DARK,6,Fairy,1800,2800
Delg the Dark Monarch,DARK,6,Spellcaster,2400,1000
Des Volstgalph,EARTH,6,Dragon,2200,1700
Desert Twister,WIND,6,Fiend,2300,2000
Deskbot 006,EARTH,6,Machine,500,500
Destiny HERO - Dasher,DARK,6,Warrior,2100,1000
Destiny HERO - Double Dude,DARK,6,Warrior,1000,1000
Destiny HERO - Malicious,DARK,6,Warrior,800,800
"Dewloren, Tiger King of the Ice Barrier",WATER,6,Beast,2000,1400
"Dinomight Knight, the True Dracofighter",WATER,6,Wyrm,2500,1200
Divine Knight Ishzark,LIGHT,6,Warrior,2300,1800
Dododo Buster,EARTH,6,Warrior,1900,800
Dododo Warrior,EARTH,6,Warrior,2300,900
Dokurorider,DARK,6,Zombie,1900,1850
Doom Shaman,DARK,6,Spellcaster,2400,2000
Doomkaiser Dragon,FIRE,6,Zombie,2400,1500
Dragon Horn Hunter,DARK,6,Warrior,2300,1000
Dragon Queen of Tragic Endings,DARK,6,Dragon,1900,2600
Dragon Seeker,DARK,6,Fiend,2000,2100
Dragunity Arma Mystletainn,WIND,6,Dragon,2100,1500
Dragunity Knight - Gae Bulg,WIND,6,Dragon,2000,1100
Dragunity Knight - Gae Dearg,WIND,6,Dragon,2400,800
Dragunity Knight - Vajrayana,WIND,6,Dragon,1900,1200
"Dreiath III, the True Dracocavalry General",EARTH,6,Wyrm,2100,2800
Drill Warrior,EARTH,6,Warrior,2400,2000
El Shaddoll Wendigo,WIND,6,Psychic,200,2800
Elemental HERO Darkbright,DARK,6,Warrior,2000,1000
Elemental HERO Flame Wingman,WIND,6,Warrior,2100,1200
Elemental HERO Gaia,EARTH,6,Warrior,2200,2600
Elemental HERO Mudballman,EARTH,6,Warrior,1900,3000
Elemental HERO Necroid Shaman,DARK,6,Warrior,1900,1800
Elemental HERO Phoenix Enforcer,FIRE,6,Warrior,2100,1200
Elemental HERO Poison Rose,EARTH,6,Plant,1900,2000
Elemental HERO Rampart Blaster,EARTH,6,Warrior,2000,2500
Elemental HERO Thunder Giant,LIGHT,6,Warrior,2400,1500
Empress Judge,EARTH,6,Warrior,2100,1700
Empress Mantis,WIND,6,Insect,2200,1400
"Enishi, Shien's Chancellor",LIGHT,6,Warrior,2200,1200
Evigishki Gustkraken,WATER,6,Aqua,2400,1000
Evigishki Mind Augus,WATER,6,Aqua,2500,2000
Evigishki Tetrogre,WATER,6,Aqua,2600,2100
Evil HERO Infernal Sniper,FIRE,6,Fiend,2000,2500
Evil HERO Inferno Wing,FIRE,6,Fiend,2100,1200
Evil HERO Lightning Golem,LIGHT,6,Fiend,2400,1500
Evilswarm Coppelia,DARK,6,Machine,2450,2050
Evolsaur Elias,FIRE,6,Dinosaur,100,2400
Evolsaur Terias,FIRE,6,Dinosaur,2400,600
Evolzar Solda,FIRE,6,Dragon,2600,1000
Explosive Magician,LIGHT,6,Spellcaster,2500,1800
E☆HERO Pit Boss,LIGHT,6,Spellcaster,2600,2000
Fabled Soulkius,LIGHT,6,Fiend,2200,2100
Fairy King Truesdale,WATER,6,Plant,2200,1500
Fairy Knight Ingunar,EARTH,6,Plant,2200,3000
Fenghuang,FIRE,6,Winged Beast,2100,1800
Fiend's Mirror,DARK,6,Fiend,2100,1800
Firewing Pegasus,FIRE,6,Beast,2250,1800
Flame Cerebrus,FIRE,6,Pyro,2100,1800
Flamvell Commando,FIRE,6,Pyro,2200,200
Flamvell Uruquizas,FIRE,6,Pyro,2100,400
Flower Cardian Boardefly,DARK,6,Warrior,2000,2000
Flower Cardian Peony with Butterfly,DARK,6,Warrior,1000,1000
Fortune Lady Earth,EARTH,6,Spellcaster,0,0
Frightfur Bear,DARK,6,Fiend,2200,1800
Frightfur Tiger,DARK,6,Fiend,1900,1200
Frightfur Wolf,DARK,6,Fiend,2000,1500
Frost and Flame Dragon,WATER,6,Dragon,2300,2000
Frostosaurus,WATER,6,Dinosaur,2600,1700
Full Armored Crystalzero Lancer,WATER,6,Warrior,2200,1600
Gaap the Divine Soldier,DARK,6,Fiend,2200,2000
Gadget Hauler,EARTH,6,Machine,1300,0
Gadget Soldier,FIRE,6,Machine,1800,2000
Gagaga Head,DARK,6,Spellcaster,2100,2000
"Gaia Knight, the Force of Earth",EARTH,6,Warrior,2600,800
Gauntlet Launcher,EARTH,6,Warrior,2400,2800
Gem-Knight Aquamarine,EARTH,6,Aqua,1400,2600
Gem-Knight Ruby,EARTH,6,Pyro,2500,1300
Gem-Knight Topaz,EARTH,6,Thunder,1800,1800
General Raiho of the Ice Barrier,WATER,6,Warrior,2100,2300
Genesis Dragon,LIGHT,6,Dragon,2200,1800
Genex Ally Triarm,DARK,6,Machine,2400,1600
Genex Army,EARTH,6,Machine,2300,1300
Genomix Fighter,WIND,6,Psychic,2200,1100
Geo Genex,EARTH,6,Machine,1800,2800
Giant Pairfish,WATER,6,Wyrm,2000,1200
Gigaplant,EARTH,6,Plant,2400,1200
Gillagillancer,EARTH,6,Warrior,2200,800
Gladiator Beast Alexander,LIGHT,6,Beast,2400,600
Gladiator Beast Gyzarus,DARK,6,Winged Beast,2400,1500
"Goka, the Pyre of Malice",FIRE,6,Zombie,2200,1900
Golden Homunculus,LIGHT,6,Warrior,1500,1500
Goyo Guardian,EARTH,6,Warrior,2800,2000
Goyo Predator,EARTH,6,Warrior,2400,1200
"Gragonith, Lightsworn Dragon",LIGHT,6,Dragon,2000,1600
Granmarg the Rock Monarch,EARTH,6,Rock,2400,1000
Gravekeeper's Shaman,DARK,6,Spellcaster,1500,1500
Gravi-Crush Dragon,DARK,6,Dragon,2400,1200
Gravity Behemoth,DARK,6,Beast,2300,2000
Gravity Warrior,EARTH,6,Warrior,2100,1000
Great Dezard,DARK,6,Spellcaster,1900,2300
Great Maju Garzett,DARK,6,Fiend,0,0
Great Mammoth of Goldfine,DARK,6,Zombie,2200,1800
Gyakutenno Megami,LIGHT,6,Fairy,1800,2000
Hammer Bounzer,EARTH,6,Warrior,2300,2000
Harpie Lady Sisters,WIND,6,Winged Beast,1950,2100
Hazy Flame Basiltrice,FIRE,6,Pyro,2500,1800
Hazy Flame Cerbereus,FIRE,6,Beast,2000,200
Hazy Flame Griffin,FIRE,6,Winged Beast,200,2100
Hazy Flame Hydra,FIRE,6,Dinosaur,2300,200
Hazy Flame Hyppogrif,FIRE,6,Pyro,2100,200
Hazy Flame Mantikor,FIRE,6,Winged Beast,2200,300
Hazy Flame Peryton,FIRE,6,Pyro,1600,1700
Hazy Flame Sphynx,FIRE,6,Beast-Warrior,1900,1900
Helios Duo Megistus,LIGHT,6,Pyro,0,0
Herald of Perfection,LIGHT,6,Fairy,1800,2800
Heroic Challenger - War Hammer,EARTH,6,Warrior,2100,1300
Hi-Speedroid Kendama,WIND,6,Machine,2200,1600
Hieracosphinx,EARTH,6,Rock,2400,1200
Hieratic Dragon King of Atum,LIGHT,6,Dragon,2400,2100
Hieratic Dragon of Su,LIGHT,6,Dragon,2200,1000
Hieratic Dragon of Tefnuit,LIGHT,6,Dragon,2100,1400
Hieratic Seal of the Dragon King,LIGHT,6,Dragon,0,0
Horus the Black Flame Dragon LV6,FIRE,6,Dragon,2300,1600
HTS Psyhemuth,EARTH,6,Psychic,2400,1800
Hungry Burger,DARK,6,Warrior,2000,1850
Hydro Genex,WATER,6,Machine,2300,1800
Ido the Supreme Magical Force,DARK,6,Fiend,2200,800
Igknight Gallant,FIRE,6,Warrior,2100,2200
Igknight Veteran,FIRE,6,Warrior,1300,2700
Ignition Beast Volcannon,EARTH,6,Machine,2300,1600
Il Blud,DARK,6,Zombie,2100,800
Infernal Incinerator,FIRE,6,Fiend,2800,1800
Infernity Archer,DARK,6,Fiend,2000,1000
Infernity Destroyer,DARK,6,Fiend,2300,1000
Inferno Hammer,DARK,6,Fiend,2400,0
Infernoid Sjette,FIRE,6,Fiend,2400,0
Insect Princess,WIND,6,Insect,1900,1200
Invoked Cocytus,WATER,6,Dragon,1800,2900
Inzektor Exa-Beetle,DARK,6,Insect,1000,1000
Inzektor Giga-Mantis,DARK,6,Insect,2400,0
Inzektor Giga-Weevil,DARK,6,Insect,0,2600
"Iris, the Earth Mother",LIGHT,6,Fairy,2400,1200
Iron Chain Dragon,EARTH,6,Dragon,2500,1300
Izanagi,WIND,6,Fairy,2200,1000
Jawsman,WATER,6,Beast-Warrior,2600,1600
Jinzo,DARK,6,Machine,2400,1500
Judge Man,EARTH,6,Warrior,2200,1500
Junk Gardna,EARTH,6,Warrior,1400,2600
Junk Giant,EARTH,6,Machine,2000,2400
Jurrac Herra,FIRE,6,Dinosaur,2300,1500
Kabuki Dragon,LIGHT,6,Dragon,2300,2100
Kaiser Glider,LIGHT,6,Dragon,2400,2200
Knight of the Red Lotus,FIRE,6,Warrior,2100,1800
Koalo-Koala,EARTH,6,Beast,2800,200
Kozmo DOG Fighter,DARK,6,Machine,2000,2400
Kozmo Landwalker,DARK,6,Machine,2400,1200
Krystal Dragon,LIGHT,6,Dragon,2500,1000
Kuraz the Light Monarch,LIGHT,6,Warrior,2400,1000
Kwagar Hercules,EARTH,6,Insect,1900,1700
Labradorite Dragon,DARK,6,Dragon,0,2400
Lancephorhynchus,WIND,6,Dinosaur,2500,800
"Latinum, Exarch of Dark World",DARK,6,Fiend,1500,2400
Laval Lancelord,FIRE,6,Warrior,2100,200
Laval the Greater,FIRE,6,Warrior,2400,800
Lavalval Dragun,FIRE,6,Dragon,2500,1200
Legendary Fiend,DARK,6,Fiend,1500,1800
"Lich Lord, King of the Underworld",DARK,6,Zombie,2400,1200
Lightpulsar Dragon,LIGHT,6,Dragon,2500,1500
Lightray Madoor,LIGHT,6,Spellcaster,1200,3000
Lightray Sorcerer,LIGHT,6,Spellcaster,2300,2000
"Lucent, Netherlord of Dark World",DARK,6,Fiend,2400,0
Lunalight Wolf,LIGHT,6,Beast-Warrior,2000,1800
Luster Dragon #2,WIND,6,Dragon,2400,1400
Lycanthrope,EARTH,6,Beast-Warrior,2400,1800
Machine King,EARTH,6,Machine,2200,2000
Magna-Slash Dragon,LIGHT,6,Dragon,2400,1200
Majespecter Unicorn - Kirin,WIND,6,Spellcaster,2000,2000
Majestic Mech - Ohka,LIGHT,6,Fairy,2400,1400
Majesty's Fiend,LIGHT,6,Fiend,2400,1000
"Malacoda, Netherlord of the Burning Abyss",DARK,6,Fiend,2700,2200
Malevolent Mech - Goku En,LIGHT,6,Zombie,2400,1400
Manticore of Darkness,FIRE,6,Beast-Warrior,2300,1000
Masked HERO Blast,WIND,6,Warrior,2200,1800
Masked HERO Dark Law,DARK,6,Warrior,2400,1800
Masked HERO Goka,FIRE,6,Warrior,2200,1800
Masked HERO Vapor,WATER,6,Warrior,2400,2000
Maximum Six,EARTH,6,Warrior,1900,1600
Megazowler,EARTH,6,Dinosaur,1800,2000
Metal Dragon,WIND,6,Machine,1850,1700
Metalfoes Mithrilium,FIRE,6,Psychic,2600,1000
Metaphys Horus,LIGHT,6,Wyrm,2300,1600
Meteor Dragon,EARTH,6,Dragon,1800,2000
Meteor Dragon Red-Eyes Impact,DARK,6,Dragon,1800,2000
Mighty Warrior,EARTH,6,Warrior,2200,2000
Millennium Golem,EARTH,6,Rock,2000,2200
Mind on Air,DARK,6,Spellcaster,1000,1600
Minoan Centaur,EARTH,6,Beast-Warrior,1800,1000
Mobius the Frost Monarch,WATER,6,Aqua,2400,1000
Mokey Mokey King,LIGHT,6,Fairy,300,100
Moon Dragon Quilla,DARK,6,Dragon,2500,2000
Mother Spider,DARK,6,Insect,2300,1200
Mutant Mindmaster,DARK,6,Spellcaster,0,2500
Mystic Swordsman LV6,EARTH,6,Warrior,2300,1700
Mystical Beast of Serket,EARTH,6,Fairy,2500,2000
Mystical Sand,EARTH,6,Rock,2100,1700
Naturia Barkion,EARTH,6,Dragon,2500,1800
Naturia Stag Beetle,EARTH,6,Insect,2200,1500
Nekogal #2,EARTH,6,Beast-Warrior,1900,2000
Nekroz of Brionac,WATER,6,Warrior,2300,1400
Neo Aqua Madoor,WATER,6,Spellcaster,1200,3000
Norito the Moral Leader,LIGHT,6,Spellcaster,2700,2000
Number 21: Frozen Lady Justice,WATER,6,Aqua,500,500
Number 24: Dragulas the Vampiric Dragon,DARK,6,Wyrm,2400,2800
Number 25: Force Focus,LIGHT,6,Machine,2800,2400
Number 39: Utopia Beyond,LIGHT,6,Warrior,3000,2500
Number 6: Chronomaly Atlandis,LIGHT,6,Machine,2600,3000
Number 72: Shogi Rook,EARTH,6,Beast-Warrior,2500,1200
Number C5: Chaos Chimera Dragon,DARK,6,Dragon,0,0
Number C73: Abyss Supra Splash,WATER,6,Warrior,3000,2000
Oafdragon Magician,WIND,6,Spellcaster,2100,1400
Ojama King,LIGHT,6,Beast,0,3000
Orient Dragon,WIND,6,Dragon,2300,1000
Overdrive Teleporter,LIGHT,6,Psychic,2100,1200
Pendulum Machine,DARK,6,Machine,1750,2000
Penumbral Soldier Lady,DARK,6,Warrior,2100,1400
Performage Stilts Launcher,EARTH,6,Spellcaster,2200,0
Performance of Sword,EARTH,6,Warrior,1950,1850
Performapal Bubblebowwow,EARTH,6,Beast,2300,1000
Performapal Elephammer,EARTH,6,Beast,2600,1800
Performapal Inflater Tapir,WIND,6,Beast,1000,2000
Performapal Kaleidoscorp,LIGHT,6,Insect,100,2300
Performapal King Bear,EARTH,6,Beast-Warrior,2200,1000
Performapal Monkeyboard,EARTH,6,Beast,1000,2400
Performapal Splashmammoth,WATER,6,Beast,1900,2300
Phantom Bounzer,DARK,6,Warrior,2400,1200
Phoenix Beast Gairuda,WIND,6,Winged Beast,2500,1200
Photon Leo,LIGHT,6,Beast,2100,1100
Photon Strike Bounzer,LIGHT,6,Warrior,2700,2000
Pilgrim Reaper,DARK,6,Zombie,0,0
Power Giant,EARTH,6,Rock,2200,0
Powered Inzektron,LIGHT,6,Machine,2500,1600
Prime Material Dragon,LIGHT,6,Dragon,2400,2000
Prophecy Destroyer,DARK,6,Spellcaster,2500,1200
PSY-Frame Driver,LIGHT,6,Psychic,2500,0
PSY-Frame Multi-Threader,LIGHT,6,Psychic,0,2500
Psychic Emperor,LIGHT,6,Psychic,2400,1000
Psychic Nightmare,WIND,6,Psychic,2400,1800
Pumpking the King of Ghosts,DARK,6,Zombie,1800,2000
Punished Eagle,WIND,6,Winged Beast,2100,1800
Puppet Master,DARK,6,Fiend,0,0
Qliphort Carrier,EARTH,6,Machine,2400,1000
Qliphort Helix,EARTH,6,Machine,2400,1000
Queen Nereia the Silvercrown,LIGHT,6,Plant,2500,2400
Queen of Thorns,LIGHT,6,Plant,2200,1800
Rabid Horseman,EARTH,6,Beast-Warrior,2000,1700
Raidraptor - Revolution Falcon,DARK,6,Winged Beast,2000,3000
Raidraptor - Wild Vulture,DARK,6,Winged Beast,1600,2000
Raiza the Storm Monarch,WIND,6,Winged Beast,2400,1000
Reaper of Prophecy,DARK,6,Spellcaster,2000,1600
Red Dragon Ninja,FIRE,6,Winged Beast,2400,1200
Red Warg,FIRE,6,Fiend,1400,2200
Red Wyvern,FIRE,6,Dragon,2400,2000
Red-Eyes Archfiend of Lightning,DARK,6,Fiend,2500,1200
Reptilianne Hydra,DARK,6,Reptile,2100,1500
Reptilianne Medusa,DARK,6,Reptile,2200,800
Rescueroid,FIRE,6,Machine,1600,1800
Revived King Ha Des,DARK,6,Zombie,2450,0
Ritual Beast Ulti-Apelio,WIND,6,Pyro,2600,400
Ritual Beast Ulti-Cannahawk,WIND,6,Thunder,1400,1600
Ritual Beast Ulti-Pettlephin,WIND,6,Aqua,200,2800
Roaring Ocean Snake,WATER,6,Aqua,2100,1800
Roc from the Valley of Haze,WIND,6,Winged Beast,2400,1400
Rose Tentacles,EARTH,6,Plant,2200,1200
Ryu Kokki,DARK,6,Zombie,2400,2000
Ryu Senshi,EARTH,6,Warrior,2000,1200
Saber Beetle,EARTH,6,Insect,2400,600
"Saffira, Queen of Dragons",LIGHT,6,Dragon,2500,2400
Santa Claws,LIGHT,6,Fiend,1200,2500
Sanwitch,DARK,6,Spellcaster,2100,1800
Scary Moth,WIND,6,Insect,1800,2300
Schuberta the Melodious Maestra,LIGHT,6,Fairy,2400,2000
Scrap Breaker,EARTH,6,Machine,2100,700
Senior Silver Ninja,EARTH,6,Warrior,2300,2200
Sharkraken,WATER,6,Fish,2400,2100
Shiranui Samuraisaga,FIRE,6,Zombie,2500,0
Skelgon,DARK,6,Zombie,1700,1900
Skull Archfiend of Lightning,DARK,6,Fiend,2500,1200
Skullbird,WIND,6,Winged Beast,1900,1700
Sky Dragon,WIND,6,Dragon,1900,1800
Sky Scourge Invicil,EARTH,6,Fairy,2200,1600
Soul Hunter,DARK,6,Fiend,2200,1800
Soul of Purity and Light,LIGHT,6,Fairy,2000,1800
Spirit of the Pharaoh,LIGHT,6,Zombie,2500,2000
Splendid Rose,WIND,6,Plant,2200,2000
Stardust Charge Warrior,WIND,6,Warrior,2000,1300
Steam Gyroid,EARTH,6,Machine,2200,1600
Steel Ogre Grotto #2,EARTH,6,Machine,1900,2200
Steelswarm Moth,DARK,6,Fiend,2400,0
Stegocyber,DARK,6,Dinosaur,1200,2400
Storm Caller,WIND,6,Psychic,2300,2000
Strong Wind Dragon,WIND,6,Dragon,2400,1000
Subterror Behemoth Dragossuary,EARTH,6,Zombie,2400,1600
Summoned Skull,DARK,6,Fiend,2500,1200
Super Robolady,EARTH,6,Machine,1200,500
Super Roboyarou,EARTH,6,Machine,1200,500
Superheavy Samurai Ogre Shutendoji,EARTH,6,Machine,500,2500
Swift Birdman Joe,WIND,6,Winged Beast,2300,1400
Sword Arm of Dragon,EARTH,6,Dinosaur,1750,2030
Sword Breaker,EARTH,6,Warrior,2700,1000
Swordstalker,DARK,6,Warrior,2000,1600
Sylvan Guardioak,EARTH,6,Plant,2400,1500
Tempest Magician,DARK,6,Spellcaster,2200,1400
The Agent of Judgment - Saturn,LIGHT,6,Fairy,2400,0
The End of Anubis,DARK,6,Fiend,2500,0
The Fiend Megacyber,DARK,6,Warrior,2200,1200
Thestalos the Firestorm Monarch,FIRE,6,Pyro,2400,1000
Tiger Dragon,EARTH,6,Dragon,2400,1800
Timeater,DARK,6,Machine,1900,1700
Tongue Twister,DARK,6,Fiend,400,300
Toon Dark Magician Girl,DARK,6,Spellcaster,2000,1700
Toon Summoned Skull,DARK,6,Fiend,2500,1200
Total Defense Shogun,DARK,6,Warrior,1550,2500
Trance the Magic Swordsman,EARTH,6,Spellcaster,2600,200
Trifortressops,DARK,6,Machine,1600,2800
Troposphere,WIND,6,Winged Beast,2400,2000
Turbo Warrior,WIND,6,Warrior,2500,1500
Turtle Bird,WATER,6,Aqua,1900,1700
"Twilight Ninja Nichirin, the Chunin",DARK,6,Warrior,2300,1000
Twin Photon Lizard,LIGHT,6,Dragon,2400,1000
Twin-Headed Fire Dragon,FIRE,6,Pyro,2200,1700
Twinheaded Beast,FIRE,6,Beast,1700,1900
Tyhone #2,FIRE,6,Dragon,1700,1900
U.A. Goalkeeper,EARTH,6,Warrior,1000,2800
U.A. Rival Rebounder,EARTH,6,Warrior,2200,2300
UFOroid,LIGHT,6,Machine,1200,1200
Underground Arachnid,EARTH,6,Insect,2400,1200
Ushi Oni,DARK,6,Fiend,2150,1950
Vampire Grace,DARK,6,Zombie,2000,1200
Vampire's Curse,DARK,6,Zombie,2000,800
Vanity's Fiend,DARK,6,Fiend,2400,1200
"Virgil, Rock Star of the Burning Abyss",LIGHT,6,Spellcaster,2500,1000
Volcanic Queen,FIRE,6,Pyro,2500,1200
Vulcan the Divine,FIRE,6,Beast-Warrior,2000,1600
VW-Tiger Catapult,LIGHT,6,Machine,2000,2100
Warrior of Tradition,EARTH,6,Warrior,1900,1700
Wattaildragon,LIGHT,6,Dragon,2500,1000
Wattchimera,LIGHT,6,Thunder,1400,1200
White Aura Dolphin,WATER,6,Fish,2400,1000
White-Horned Dragon,DARK,6,Dragon,2200,1400
"Windaar, Sage of Gusto",WIND,6,Psychic,2000,1000
Worm Erokin,LIGHT,6,Reptile,2400,1200
Worm Noble,LIGHT,6,Reptile,1500,2400
Worm Prince,LIGHT,6,Reptile,2200,400
Worm Warlord,LIGHT,6,Reptile,2350,1800
XX-Saber Faultroll,EARTH,6,Warrior,2400,1800
XX-Saber Hyunlei,EARTH,6,Warrior,2300,1300
XY-Dragon Cannon,LIGHT,6,Machine,2200,1900
XZ-Tank Cannon,LIGHT,6,Machine,2400,2100
Yamato-no-Kami,DARK,6,Warrior,2200,1200
Yosenju Magat,WIND,6,Beast,2000,100
Yosenju Misak,WIND,6,Beast,2300,200
Yosenju Oyam,WIND,6,Beast,0,0
YZ-Tank Dragon,LIGHT,6,Machine,2100,2200
"Zefraniu, Secret of the Yang Zing",EARTH,6,Wyrm,0,2600
Accel Synchron,DARK,5,Machine,500,2100
Acrobatic Magician,DARK,5,Spellcaster,800,2300
"Adreus, Keeper of Armageddon",DARK,5,Fiend,2600,1700
Airknight Parshath,LIGHT,5,Fairy,1900,1400
Aitsu,FIRE,5,Fairy,100,100
Alligator's Sword Dragon,WIND,5,Dragon,1700,1500
Allure Queen LV5,DARK,5,Spellcaster,1000,1000
Ally Mind,DARK,5,Machine,1800,1400
Ally of Justice Catastor,DARK,5,Machine,2200,1200
Ally of Justice Omni-Weapon,DARK,5,Machine,2200,800
Ally of Justice Rudra,DARK,5,Machine,1900,1200
Amphibious Bugroth,WATER,5,Aqua,1850,1300
Ancient Gear Engineer,EARTH,5,Machine,1500,1500
Ancient Tool,DARK,5,Machine,1700,1400
Ansatsu,EARTH,5,Warrior,1700,1200
Anteatereatingant,EARTH,5,Insect,2000,500
"Armades, Keeper of Boundaries",LIGHT,5,Fiend,2300,1500
Armed Dragon LV5,WIND,5,Dragon,2400,1700
Aromaseraphy Rosemary,LIGHT,5,Plant,2000,900
Artifact Achilleshield,LIGHT,5,Fairy,1500,2200
Artifact Aegis,LIGHT,5,Fairy,1200,2500
Artifact Beagalltach,LIGHT,5,Fairy,1400,2100
